NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,FLUX_APER,FLUXERR_APER,FLAGS,NITER_MODEL
16170,1380.3906,4261.2065,220.5029177,+40.0216602,0.6468967,0.773998,0,9
16171,5244.1763,4258.2539,220.1525447,+40.0211370,1.020947,0.9675381,0,46
16172,782.6487,4264.3369,220.5571224,+40.0218326,0.4134419,0.6235675,0,9
16173,1001.6703,4259.4121,220.5372606,+40.0215100,0.3995568,0.6134484,0,6
16174,6549.6235,4256.8667,220.0341692,+40.0206946,1.405711,1.132585,0,48
16175,6209.5479,4254.5039,220.0650073,+40.0206323,1.125694,1.015146,0,10
16176,6924.9668,4259.2065,220.0001332,+40.0207354,0.7317992,0.8219661,0,9
16177,3073.0217,4252.4551,220.3494272,+40.0210430,1.415988,1.136672,0,11
16178,786.6946,4252.8433,220.5567541,+40.0210348,1.349443,1.109988,0,20
16179,4967.0176,4249.0376,220.1776798,+40.0205549,0.9184688,0.9185853,0,10
16180,3589.6807,4265.6528,220.3025744,+40.0219162,0.5848682,0.737066,0,10
16181,4728.7905,4213.0308,220.1992906,+40.0180999,3.769943,1.847348,0,49
16182,865.5079,4254.8804,220.5496075,+40.0211837,1.275589,1.079624,0,9
16183,2264.0605,4241.7666,220.4227849,+40.0203305,2.018321,1.354498,3,45
16184,3187.3503,4266.2671,220.3390585,+40.0219942,0.637219,0.768383,0,9
16185,11.9962,4261.8701,220.6270060,+40.0215660,0.4818454,0.671133,0,5
16186,3238.6167,4623.8306,220.3343735,+40.0468211,78.08568,8.388313,0,74
16187,1414.9423,4261.5718,220.4997845,+40.0216874,1.015672,0.9650751,0,10
16188,240.8491,4247.1367,220.6062507,+40.0205755,3.092662,1.674084,0,24
16189,8340.8555,4247.6733,219.8717540,+40.0193855,2.704577,1.566175,0,9
16190,6303.7871,4267.3960,220.0564570,+40.0215002,0.60874,0.7514635,0,10
16191,2386.4878,4257.3774,220.4116828,+40.0214131,1.000964,0.9581679,0,81
16192,8127.9536,4207.2026,219.8910807,+40.0166668,19.09392,4.149467,0,61
16193,7373.8618,4229.5952,219.9594434,+40.0185204,7.735416,2.64295,0,94
16194,7179.6968,4252.6963,219.9770382,+40.0201950,2.017802,1.354353,0,103
16195,4130.8369,4259.8818,220.2535024,+40.0214499,0.9106636,0.9147407,0,9
16196,5697.6709,4268.3169,220.1114188,+40.0217292,0.633372,0.7661679,0,10
16197,845.9871,4251.0674,220.5513772,+40.0209171,1.874445,1.305775,0,12
