_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
220.35951400,+39.64438500,220.359514,+39.644385,1,+,3,J144126.28+393839.7,,2003.2260,3,23.542,0.802,22.733,0.164,21.794,0.119,21.249,0.106,21.156,0.394,,0.4936,0.1289,0.4814
220.36805600,+39.65540100,220.368056,+39.655401,1,+,3,J144128.33+393919.4,,2003.2260,3,22.435,0.471,21.510,0.082,21.074,0.091,20.842,0.109,20.768,0.432,,0.2043,0.0905,0.2052
220.35722700,+39.65606900,220.357227,+39.656069,1,+,6,J144125.73+393921.8,,2003.2260,3,25.112,0.934,23.372,0.234,21.900,0.111,21.343,0.096,20.759,0.229,,,,
220.35255100,+39.65088900,220.352551,+39.650889,1,,3,J144124.61+393903.2,,2003.2260,3,23.451,0.862,25.756,0.691,26.435,0.443,21.830,0.202,21.171,0.456,,-9999.0000,-9999.0000,0.7180
220.36593500,+39.65772000,220.365935,+39.657720,1,+,3,J144127.82+393927.7,,2003.2317,3,23.138,0.416,22.464,0.106,21.639,0.080,21.408,0.097,21.009,0.219,,0.4098,0.0997,0.3916
220.39447500,+39.65502900,220.394475,+39.655029,1,+,6,J144134.67+393918.1,,2003.2317,3,23.544,0.463,20.623,0.023,19.343,0.013,18.644,0.011,18.262,0.021,,,,
220.39900200,+39.67338400,220.399002,+39.673384,1,,6,J144135.76+394024.1,,2003.2317,3,22.746,0.261,25.743,0.379,24.581,0.540,24.768,0.493,23.639,0.350,,,,
220.36735000,+39.67214000,220.367350,+39.672140,1,,3,J144128.16+394019.7,,2003.2317,3,23.393,0.467,23.135,0.173,22.944,0.227,22.015,0.150,22.040,0.427,,0.5567,0.1897,0.6555
220.36675000,+39.66782600,220.366750,+39.667826,1,+,3,J144128.01+394004.1,,2003.2317,3,22.074,0.265,21.677,0.087,20.919,0.066,20.616,0.080,20.239,0.196,,0.4040,0.1073,0.3881
220.38339300,+39.68909200,220.383393,+39.689092,1,+,6,J144132.01+394120.7,,2003.2317,3,24.556,0.711,22.590,0.101,21.274,0.050,20.089,0.028,19.455,0.050,,,,
220.37545200,+39.67038400,220.375452,+39.670384,1,+,6,J144130.10+394013.3,,2003.2317,3,23.413,0.418,23.466,0.200,22.763,0.171,22.704,0.227,22.655,0.454,,,,
220.38169900,+39.66807100,220.381699,+39.668071,1,+,6,J144131.60+394005.0,,2003.2317,3,23.536,0.461,22.320,0.079,20.744,0.033,19.739,0.021,19.259,0.042,,,,
